,Gender,Company Type,WFH Setup Available,Age,Tenure,Vacations taken,Designation,Average Hours worked per day,Employee satisfaction score,Mental Fatigue Score
6757,1,1,0,27,7,2,3,5.0,5.9,0.52
6758,1,0,1,63,1,6,1,1.0,3.9,0.29
6759,1,0,0,53,17,7,3,5.0,5.2,0.47
6760,1,1,0,28,1,7,4,7.0,8.7,0.69
6761,0,1,0,53,7,6,2,6.0,7.5,0.67
6762,0,1,0,61,4,9,2,6.0,8.2,0.7
6763,1,1,0,44,1,12,2,4.0,4.7,0.41
6764,0,0,1,31,9,4,0,1.0,2.2,0.17
6765,0,0,0,57,12,3,2,4.0,5.8,0.42
6766,1,0,1,63,1,7,2,5.0,7.0,0.56
6767,0,0,1,56,18,3,3,5.0,5.3,0.44
6768,1,1,0,50,18,10,2,6.0,6.3,0.61
6769,1,0,1,57,16,11,0,1.0,3.5,0.19
6770,0,0,0,40,17,7,1,4.0,7.0,0.45
6771,1,1,0,23,12,4,3,8.0,7.6,0.72
6772,0,0,0,55,11,3,2,4.0,5.9,0.53
6773,1,0,0,49,14,7,4,7.0,7.8,0.76
6774,0,0,0,64,17,6,2,6.0,7.5,0.58
6775,0,1,1,62,10,3,1,3.0,6.1,0.45
6776,1,1,0,62,16,11,4,6.0,7.4,0.63
6777,1,0,1,64,8,2,2,5.0,5.9,0.49
6778,1,0,0,22,8,6,1,3.0,5.0,0.33
6779,1,1,0,25,3,0,2,5.0,8.8,0.71
6780,0,1,1,59,3,3,0,1.0,0.2,0.45
6781,1,1,0,47,12,3,1,4.0,5.9,0.37
6782,0,1,1,33,19,3,2,3.0,2.4,0.15
6783,0,0,0,38,1,2,3,5.0,6.3,0.41
6784,0,1,0,24,11,4,3,8.0,8.4,0.74
6785,0,0,0,41,4,0,2,6.0,6.5,0.52
6786,0,0,1,40,11,3,2,4.0,4.4,0.38
6787,1,1,0,32,11,4,3,5.0,7.0,0.48
6788,0,1,1,38,6,5,2,4.0,4.3,0.27
6789,0,1,1,51,19,1,1,4.0,4.2,0.31
6790,1,0,1,46,14,2,2,5.0,5.7,0.5
6791,1,0,0,33,3,11,3,7.0,9.0,0.74
6792,0,0,1,26,8,5,2,4.0,4.6,0.33
6793,0,0,1,50,11,7,2,5.0,8.4,0.65
6794,1,1,1,28,2,3,0,1.0,1.6,0.1
6795,0,1,1,61,12,3,1,3.0,5.5,0.47
6796,0,0,0,42,10,8,4,7.0,7.5,0.68
6797,0,0,1,28,14,12,2,4.0,4.6,0.38
6798,1,1,0,58,6,4,2,3.0,4.6,0.3
6799,1,0,1,51,3,0,2,4.0,6.1,0.45
6800,0,1,1,51,9,10,2,3.0,2.0,0.13
6801,1,1,1,26,9,1,2,3.0,3.8,0.2
6802,1,0,1,38,9,12,3,4.0,6.1,0.48
6803,1,0,1,46,20,11,0,1.0,4.8,0.24
6804,0,0,0,37,18,12,4,6.0,6.1,0.57
6805,0,1,1,51,2,10,2,5.0,5.4,0.45
6806,0,0,0,29,4,1,3,7.0,7.4,0.58
6807,1,0,1,38,7,1,1,3.0,7.0,0.5
6808,0,0,1,35,16,3,2,4.0,6.2,0.6
6809,0,0,0,53,17,3,4,8.0,5.9,0.57
6810,0,0,1,65,4,7,1,3.0,4.0,0.27
6811,1,1,1,44,11,2,1,4.0,5.9,0.32
6812,0,0,0,64,12,1,2,6.0,8.1,0.72
6813,0,0,1,59,6,7,3,5.0,6.2,0.61
6814,1,0,0,59,15,8,4,6.0,5.9,0.67
6815,1,0,0,45,1,2,3,5.0,6.9,0.49
6816,0,1,1,37,13,6,3,5.0,4.2,0.35
6817,0,0,1,44,20,12,3,4.0,8.0,0.67
6818,0,0,1,33,17,8,3,5.0,5.8,0.4
6819,0,1,1,26,10,1,2,4.0,5.1,0.4
6820,1,0,0,54,17,7,3,4.0,5.8,0.4
6821,1,0,1,60,4,11,3,5.0,6.1,0.47
6822,1,0,1,50,4,2,4,6.0,5.9,0.67
6823,1,1,0,62,15,8,4,7.0,8.5,0.67
6824,1,0,0,56,19,2,4,6.0,7.7,0.62
6825,1,0,0,44,18,5,3,6.0,5.7,0.48
6826,0,0,0,39,19,2,2,6.0,7.4,0.65
6827,0,0,1,36,17,12,0,1.0,5.9,0.45
6828,1,0,1,40,7,11,3,6.0,4.3,0.38
6829,0,1,0,62,19,1,4,7.0,7.5,0.66
6830,0,0,0,43,19,7,3,6.0,8.7,0.77
6831,1,0,0,61,15,4,2,5.0,6.4,0.47
6832,1,0,1,49,13,9,2,3.0,5.9,0.46
6833,0,1,1,64,8,11,1,2.0,5.0,0.4
6834,1,0,1,38,11,3,2,5.0,6.0,0.4
6835,1,1,1,33,7,12,1,4.0,5.6,0.45
6836,0,0,0,52,4,0,3,5.0,6.7,0.46
6837,0,0,0,65,9,4,3,6.0,6.5,0.64
6838,0,0,1,50,19,8,2,5.0,6.9,0.46
6839,1,0,1,45,8,12,2,3.0,5.9,0.02
6840,1,0,1,41,4,1,2,4.0,2.9,0.17
6841,0,0,1,53,9,2,4,7.0,7.1,0.66
6842,0,0,0,47,5,12,3,6.0,6.0,0.54
6843,1,1,0,40,5,10,1,4.0,4.9,0.34
6844,1,1,1,54,2,0,0,2.0,4.7,0.24
6845,1,0,0,26,20,12,2,3.0,7.0,0.47
6846,1,0,0,61,20,9,0,1.0,1.0,0.45
6847,1,0,1,47,20,7,3,4.0,6.2,0.47
6848,0,1,0,30,17,10,3,6.0,9.3,0.8
6849,1,0,0,38,15,9,3,7.0,6.8,0.68
6850,0,0,1,28,9,8,0,2.0,4.0,0.45
6851,1,0,1,39,2,3,3,8.0,8.9,0.79
6852,0,0,1,31,3,11,3,5.0,7.0,0.47
6853,1,0,0,61,10,9,2,3.0,4.4,0.29
6854,1,1,0,27,12,5,2,5.0,9.0,0.76
6855,0,1,1,51,19,10,2,4.0,7.2,0.49
6856,0,0,1,64,13,10,2,5.0,5.0,0.44
6857,0,0,1,27,5,8,0,1.0,3.4,0.15
6858,1,0,1,53,6,6,1,3.0,6.3,0.44
6859,1,0,0,43,16,11,2,5.0,7.6,0.67
6860,1,1,1,27,5,0,0,1.0,3.7,0.19
6861,1,0,1,23,1,4,3,4.0,4.2,0.28
6862,0,0,0,52,11,12,5,9.0,10.0,1.0
6863,0,0,1,24,18,1,3,5.0,6.2,0.5
6864,0,0,0,39,1,8,2,7.0,5.9,0.73
6865,1,0,1,56,4,0,1,4.0,5.7,0.39
6866,0,1,1,42,19,12,3,7.0,8.1,0.76
6867,1,0,0,47,2,7,2,4.0,6.2,0.42
6868,0,1,1,60,15,4,1,4.0,5.5,0.42
6869,0,1,0,43,10,7,3,4.0,8.5,0.66
6870,0,0,0,42,20,9,3,8.0,8.4,0.72
6871,1,1,1,34,6,8,2,4.0,6.0,0.38
6872,0,1,0,58,7,5,2,7.0,7.7,0.76
6873,0,0,0,32,20,5,4,7.0,8.2,0.66
6874,0,0,0,37,17,9,1,4.0,4.6,0.39
6875,0,1,0,62,1,1,2,5.0,5.7,0.52
6876,1,0,1,63,4,11,1,1.0,2.9,0.17
6877,1,0,1,51,14,5,3,7.0,7.8,0.7
6878,1,0,0,36,4,4,3,5.0,7.0,0.45
6879,0,0,0,35,6,4,4,8.0,7.8,0.72
6880,1,1,1,25,2,7,4,6.0,7.1,0.62
6881,0,0,0,23,4,9,4,7.0,7.9,0.67
6882,1,0,0,60,2,1,2,3.0,5.5,0.43
6883,0,1,0,36,19,4,4,8.0,8.6,0.74
6884,0,1,1,59,14,12,1,4.0,5.2,0.33
6885,1,0,0,42,20,8,3,5.0,5.0,0.41
6886,0,0,0,27,17,2,4,7.0,7.0,0.62
6887,1,0,1,61,10,0,3,5.0,6.2,0.39
6888,1,0,0,56,8,6,0,1.0,0.5,0.45
6889,0,0,1,48,6,11,1,4.0,7.6,0.55
6890,0,1,0,48,9,2,3,5.0,6.9,0.52
6891,1,1,1,60,11,0,1,4.0,5.1,0.41
6892,1,1,0,44,8,2,1,2.0,4.8,0.41
6893,1,1,0,23,19,0,2,5.0,7.2,0.56
6894,1,0,0,59,11,2,4,8.0,7.4,0.77
6895,0,1,1,36,15,8,2,2.0,3.9,0.27
6896,1,1,0,59,7,6,2,4.0,4.3,0.34
6897,0,0,1,38,15,0,1,3.0,5.7,0.44
6898,0,0,0,64,10,8,5,8.0,8.4,0.77
6899,1,0,0,37,17,11,1,2.0,2.2,0.16
6900,0,0,0,48,19,12,2,6.0,5.8,0.53
6901,0,1,1,38,11,2,2,4.0,4.6,0.36
6902,1,0,1,58,9,3,4,7.0,6.7,0.63
6903,1,1,0,38,9,12,4,8.0,8.4,0.86
6904,0,0,0,38,7,8,4,7.0,7.6,0.78
6905,0,0,1,27,20,12,0,1.0,2.5,0.15
6906,0,0,1,29,3,10,1,3.0,4.2,0.34
6907,1,1,1,25,3,1,2,3.0,6.2,0.44
6908,1,0,0,34,17,2,3,6.0,6.2,0.61
6909,0,1,1,41,2,10,5,9.0,8.0,0.77
6910,1,0,0,65,7,2,3,6.0,6.7,0.44
6911,1,1,1,50,10,5,3,4.0,5.5,0.42
6912,1,0,1,60,19,1,1,3.0,4.4,0.29
6913,1,0,1,64,14,3,2,3.0,5.1,0.31
6914,1,1,1,57,17,4,3,5.0,5.9,0.43
6915,0,1,1,33,19,11,2,4.0,2.7,0.21
6916,1,0,0,31,14,11,1,3.0,4.3,0.35
6917,1,1,1,26,6,11,3,6.0,5.8,0.56
6918,1,1,0,32,14,12,3,6.0,5.8,0.53
6919,1,0,1,52,15,5,4,7.0,6.9,0.64
6920,1,0,1,49,18,3,1,3.0,2.3,0.15
6921,0,0,1,62,5,7,2,3.0,5.9,0.36
6922,1,1,1,30,15,10,1,4.0,7.0,0.48
6923,0,1,1,31,8,9,2,5.0,5.8,0.45
6924,1,0,1,42,5,6,2,4.0,6.9,0.46
6925,0,0,0,23,11,11,5,8.0,8.4,0.85
6926,1,1,1,38,14,11,1,3.0,4.8,0.35
6927,1,0,0,30,20,4,3,5.0,6.1,0.47
6928,1,1,0,23,8,5,3,7.0,7.1,0.6
6929,1,1,1,40,19,11,2,3.0,3.1,0.24
6930,0,0,0,61,5,7,4,7.0,7.2,0.73
6931,1,0,1,57,13,3,2,4.0,6.7,0.48
6932,0,0,1,59,10,6,1,3.0,5.1,0.41
6933,1,0,1,23,4,12,1,3.0,5.2,0.32
6934,1,1,1,54,12,12,1,4.0,4.6,0.27
6935,1,1,0,39,9,6,3,7.0,8.1,0.83
6936,1,1,0,64,11,7,4,8.0,8.0,0.45
6937,1,0,1,62,14,1,0,1.0,3.8,0.24
6938,0,1,0,28,10,3,1,2.0,5.8,0.42
6939,1,1,0,34,15,12,1,2.0,6.1,0.37
6940,1,1,1,39,12,11,1,3.0,5.9,0.41
6941,1,0,1,62,14,6,2,2.0,3.3,0.23
6942,0,1,0,56,14,11,4,9.0,8.5,0.86
6943,0,1,0,62,17,9,2,7.0,7.1,0.71
6944,0,0,1,49,11,1,3,6.0,5.5,0.48
6945,0,1,0,58,17,12,4,4.0,6.9,0.61
6946,1,0,1,51,14,7,3,6.0,5.3,0.44
6947,0,0,1,38,15,9,1,2.0,5.9,0.28
6948,0,0,0,30,20,2,3,5.0,7.4,0.69
6949,1,1,1,50,7,7,3,6.0,7.4,0.66
6950,0,0,1,56,6,2,4,7.0,8.2,0.84
6951,0,0,0,61,15,2,3,7.0,9.3,0.78
6952,1,1,0,60,15,1,4,7.0,7.7,0.55
6953,0,0,1,39,17,5,2,5.0,5.5,0.43
6954,0,1,1,59,11,6,1,3.0,6.0,0.42
6955,0,0,1,53,4,11,3,6.0,6.5,0.51
6956,1,1,1,56,9,4,2,5.0,6.7,0.43
6957,1,0,1,54,12,12,1,2.0,4.9,0.34
6958,0,0,1,43,11,4,2,3.0,5.9,0.37
6959,1,0,1,50,19,1,2,4.0,4.9,0.41
6960,1,1,0,63,14,2,3,6.0,8.7,0.69
6961,1,1,1,33,4,7,2,5.0,6.5,0.48
6962,0,0,1,62,18,10,3,5.0,5.0,0.46
6963,0,0,1,21,19,8,3,5.0,5.9,0.62
6964,1,0,1,30,15,10,0,1.0,5.9,0.01
6965,0,0,0,60,10,12,2,5.0,5.9,0.68
6966,0,1,0,65,14,4,3,5.0,6.7,0.47
6967,1,0,1,53,20,0,2,4.0,6.9,0.61
6968,1,0,0,56,19,6,2,5.0,6.5,0.53
6969,1,0,0,54,14,5,2,4.0,3.5,0.29
6970,0,0,0,38,3,1,3,4.0,6.8,0.58
6971,0,0,0,43,16,10,3,5.0,6.9,0.68
6972,1,0,0,33,15,3,2,5.0,6.7,0.65
6973,1,0,0,57,18,9,3,5.0,6.1,0.49
6974,1,0,1,65,10,0,3,6.0,6.3,0.55
6975,1,0,0,61,14,4,2,4.0,4.6,0.38
6976,0,0,0,33,2,4,2,4.0,6.6,0.51
6977,1,0,1,23,17,2,1,3.0,5.8,0.36
6978,0,0,1,47,14,9,2,3.0,5.2,0.28
6979,1,1,1,42,20,11,0,1.0,3.0,0.19
6980,1,1,0,55,5,8,4,6.0,7.3,0.54
6981,1,0,1,54,10,4,1,4.0,5.7,0.45
6982,1,0,1,38,15,1,4,7.0,5.9,0.48
6983,0,0,1,44,12,11,3,7.0,8.0,0.7
6984,0,1,1,22,19,12,0,1.0,5.9,0.45
6985,1,1,0,59,4,5,1,1.0,3.4,0.45
6986,1,0,1,36,10,0,3,5.0,6.6,0.48
6987,1,0,0,26,8,3,4,8.0,7.2,0.56
6988,0,0,0,59,16,10,4,8.0,7.0,0.51
6989,1,0,0,61,9,7,4,6.0,7.0,0.59
6990,1,1,1,21,14,5,1,2.0,2.6,0.2
6991,0,0,0,30,9,3,2,4.0,7.9,0.65
6992,0,0,0,21,16,6,2,5.0,7.8,0.58
6993,0,0,1,30,9,2,1,4.0,5.8,0.37
6994,1,1,1,34,4,8,1,2.0,5.4,0.41
6995,0,1,0,46,11,1,2,6.0,8.4,0.66
6996,1,0,0,32,9,6,4,8.0,8.9,0.75
6997,0,0,1,48,8,2,4,7.0,6.5,0.64
6998,0,0,1,47,18,11,1,3.0,5.9,0.47
6999,0,0,1,49,2,0,2,3.0,5.2,0.44
7000,0,0,1,59,14,10,1,4.0,7.2,0.55
7001,0,1,1,31,4,1,3,6.0,6.0,0.57
7002,1,1,0,31,20,10,3,6.0,6.4,0.61
7003,1,0,1,49,16,0,3,5.0,6.3,0.43
7004,1,0,1,24,10,5,2,3.0,4.5,0.28
7005,1,0,0,65,19,0,2,4.0,7.5,0.67
7006,0,0,0,63,20,12,3,7.0,6.5,0.53
7007,0,1,0,50,4,9,4,7.0,5.8,0.55
7008,1,1,1,26,7,9,2,4.0,6.9,0.49
7009,0,0,1,50,12,10,4,6.0,5.7,0.49
7010,0,1,1,52,7,3,1,3.0,6.8,0.46
7011,0,1,1,56,19,9,2,2.0,3.3,0.21
7012,1,1,1,58,17,12,1,4.0,3.7,0.24
7013,1,1,0,53,1,8,3,4.0,5.9,0.8
7014,0,0,0,25,15,0,2,5.0,7.9,0.45
7015,1,1,1,63,16,4,3,4.0,5.9,0.29
7016,1,1,1,36,9,8,2,5.0,5.9,0.38
7017,1,0,0,25,19,7,1,4.0,5.1,0.37
7018,0,0,1,50,18,11,3,5.0,6.2,0.38
7019,1,0,1,40,17,10,2,5.0,6.1,0.51
7020,1,0,1,56,11,5,1,1.0,4.1,0.19
7021,0,0,0,43,1,6,3,6.0,5.8,0.54
7022,1,1,1,40,15,6,3,5.0,4.9,0.45
7023,1,1,0,65,9,5,3,5.0,7.3,0.63
7024,0,0,0,46,2,6,4,4.0,6.9,0.63
7025,0,0,0,22,3,3,3,5.0,7.6,0.61
7026,0,0,0,63,8,9,2,6.0,7.2,0.54
7027,1,0,1,47,18,11,2,4.0,4.5,0.23
7028,0,0,1,59,11,7,3,6.0,6.5,0.5
7029,0,0,0,64,12,6,2,4.0,5.9,0.45
7030,0,0,1,57,17,3,1,4.0,4.6,0.26
7031,1,1,0,48,11,6,1,4.0,5.9,0.39
7032,1,0,0,25,19,11,2,4.0,5.9,0.55
7033,1,1,1,51,14,9,2,5.0,5.9,0.44
7034,0,0,0,24,19,7,4,7.0,6.2,0.53
7035,0,1,0,21,1,9,3,6.0,8.1,0.83
7036,0,0,1,57,1,2,1,4.0,6.7,0.45
7037,0,0,0,46,1,9,3,4.0,6.6,0.45
7038,1,0,1,27,5,7,3,4.0,5.0,0.45
7039,0,0,1,39,5,12,4,6.0,5.9,0.58
7040,0,0,0,47,7,9,2,6.0,5.9,0.64
7041,0,0,1,43,16,5,5,10.0,10.0,1.0
7042,1,1,1,39,6,2,3,7.0,8.1,0.6
7043,0,0,1,28,19,12,2,4.0,5.4,0.38
7044,0,0,1,28,3,3,1,2.0,6.0,0.45
7045,0,1,0,54,2,8,2,4.0,5.9,0.17
7046,0,0,1,45,3,3,2,4.0,5.2,0.33
7047,1,0,1,45,6,5,2,5.0,3.9,0.45
7048,1,0,1,62,8,9,2,5.0,7.0,0.51
7049,0,0,1,25,16,12,3,4.0,4.9,0.4
7050,1,0,0,45,2,9,3,6.0,8.0,0.59
7051,1,0,1,30,3,12,1,4.0,5.4,0.42
7052,0,0,0,26,2,0,3,7.0,7.8,0.79
7053,1,0,0,41,3,1,3,7.0,8.9,0.7
7054,1,0,1,41,7,12,2,4.0,3.2,0.16
7055,1,0,1,35,6,3,4,6.0,6.2,0.58
7056,1,1,0,41,3,11,4,6.0,7.3,0.52
7057,1,1,1,56,7,12,1,4.0,4.4,0.45
7058,1,1,1,60,17,7,2,4.0,6.1,0.54
7059,1,1,1,26,13,5,3,4.0,6.4,0.48
7060,1,1,1,22,9,9,1,2.0,4.1,0.45
7061,0,1,0,63,15,10,2,5.0,6.5,0.51
7062,1,0,1,21,4,9,2,5.0,5.1,0.47
7063,1,0,1,53,14,5,1,1.0,3.7,0.22
7064,0,1,0,36,13,0,2,5.0,5.9,0.59
7065,1,0,0,61,11,3,3,7.0,5.7,0.54
7066,1,1,1,22,15,8,1,2.0,5.9,0.36
7067,0,0,1,63,13,6,0,3.0,4.7,0.34
7068,0,0,1,30,20,0,1,5.0,5.7,0.51
7069,1,0,0,22,12,3,0,1.0,3.2,0.22
7070,1,0,1,55,14,8,3,6.0,5.2,0.37
7071,1,0,0,39,18,1,4,6.0,5.9,0.65
7072,1,1,1,65,4,4,3,6.0,6.4,0.59
7073,0,1,1,64,11,2,3,4.0,6.2,0.49
7074,1,1,1,55,13,7,0,1.0,5.9,0.08
7075,1,0,1,45,17,9,2,2.0,4.1,0.21
7076,0,0,0,49,7,11,3,6.0,6.4,0.61
7077,1,0,1,54,14,7,3,6.0,5.1,0.45
7078,1,0,0,42,4,5,3,6.0,8.8,0.7
7079,0,0,1,32,4,6,3,5.0,6.8,0.45
7080,0,0,0,46,20,8,2,6.0,7.5,0.53
7081,0,0,1,41,15,12,2,3.0,4.6,0.42
7082,0,1,0,63,9,10,3,4.0,6.0,0.39
7083,1,0,1,21,10,9,1,2.0,4.6,0.36
7084,1,0,0,36,16,11,4,4.0,7.7,0.75
7085,1,0,0,47,1,0,4,8.0,5.4,0.51
7086,1,0,0,57,13,3,1,4.0,5.2,0.32
7087,0,0,0,59,9,2,4,4.0,5.9,0.54
7088,1,1,1,45,15,12,1,3.0,4.7,0.32
7089,1,1,0,42,17,6,2,4.0,5.9,0.6
7090,0,0,1,25,16,10,1,3.0,3.9,0.32
7091,0,1,1,57,14,3,2,4.0,5.9,0.47
7092,1,0,1,37,18,7,1,3.0,5.8,0.36
7093,0,0,0,44,8,10,2,4.0,5.9,0.38
7094,0,0,0,62,4,2,3,6.0,6.8,0.58
7095,1,0,1,61,18,12,2,3.0,5.5,0.33
7096,0,1,0,51,17,11,4,8.0,8.3,0.65
7097,0,0,0,55,10,7,1,2.0,4.8,0.34
7098,1,0,0,57,7,4,0,2.0,3.8,0.15
7099,1,0,0,63,8,0,1,1.0,0.8,0.45
7100,0,0,1,25,4,4,1,4.0,5.3,0.39
7101,0,0,0,62,20,11,3,6.0,7.7,0.56
7102,0,0,0,41,20,1,4,6.0,7.3,0.64
7103,0,0,1,50,1,7,2,4.0,5.4,0.38
7104,0,1,1,32,9,5,2,4.0,5.2,0.36
7105,1,1,1,37,2,10,3,6.0,5.6,0.36
7106,0,0,0,23,18,1,1,2.0,3.2,0.24
7107,1,0,1,50,17,8,2,3.0,4.6,0.39
7108,1,1,1,52,7,0,3,5.0,5.9,0.42
7109,0,1,1,24,15,3,1,2.0,6.0,0.4
7110,1,0,1,36,16,7,4,8.0,9.0,0.85
7111,0,0,1,36,7,5,1,4.0,4.8,0.41
7112,0,0,0,25,10,9,2,3.0,5.9,0.45
7113,0,0,0,21,10,4,1,3.0,5.9,0.56
7114,1,0,0,31,1,9,1,4.0,5.8,0.42
7115,0,0,0,55,18,2,4,8.0,7.1,0.63
7116,0,0,1,41,11,6,2,3.0,5.9,0.41
7117,0,0,1,54,18,11,1,3.0,5.2,0.37
7118,0,1,0,35,9,0,2,5.0,5.6,0.5
7119,1,0,1,56,20,8,3,6.0,4.3,0.36
7120,0,0,0,40,16,11,4,8.0,9.4,1.0
7121,0,0,0,61,14,1,2,4.0,3.0,0.23
7122,1,0,0,46,4,5,3,7.0,9.0,0.73
7123,0,1,1,60,14,11,0,1.0,2.0,0.08
7124,1,1,0,48,3,2,2,6.0,7.7,0.66
7125,1,0,1,37,8,11,1,2.0,0.2,0.45
7126,0,0,1,51,20,2,2,4.0,5.0,0.45
7127,0,1,0,61,9,4,1,3.0,3.9,0.25
7128,0,0,0,54,20,3,2,7.0,7.8,0.72
7129,0,0,0,30,16,12,4,7.0,6.7,0.65
7130,1,0,1,55,14,0,0,2.0,2.5,0.15
7131,1,0,1,53,7,5,2,4.0,5.0,0.39
7132,1,1,1,23,13,10,2,5.0,5.8,0.39
7133,1,0,1,37,8,6,4,6.0,5.9,0.68
7134,1,1,0,32,8,10,2,6.0,7.3,0.55
7135,0,0,1,28,7,11,3,6.0,7.6,0.63
7136,1,1,1,50,2,2,2,3.0,4.8,0.33
7137,1,0,1,62,4,9,1,2.0,6.2,0.5
7138,1,0,1,38,10,9,1,2.0,4.2,0.25
7139,0,0,1,59,6,12,3,7.0,7.6,0.71
7140,1,0,0,42,15,5,3,4.0,6.6,0.48
7141,0,0,1,59,16,10,4,8.0,7.5,0.71
7142,0,0,1,25,18,5,3,4.0,4.8,0.32
7143,1,0,1,42,20,12,3,5.0,6.4,0.64
7144,0,0,0,37,10,12,1,4.0,5.2,0.45
7145,1,1,1,48,9,6,1,2.0,5.9,0.36
7146,1,1,0,33,11,1,0,2.0,2.0,0.14
7147,1,1,0,21,7,4,3,6.0,8.4,0.87
7148,1,0,0,22,13,8,3,5.0,5.8,0.51
7149,0,1,0,28,2,12,2,5.0,6.3,0.45
7150,0,1,1,50,10,7,3,5.0,6.6,0.47
7151,0,0,0,54,9,11,3,7.0,8.2,0.7
7152,0,0,1,45,7,10,1,3.0,5.9,0.35
7153,1,0,1,38,13,10,3,5.0,4.6,0.36
7154,1,1,0,36,7,0,4,7.0,6.0,0.56
7155,1,0,1,34,12,10,2,2.0,3.2,0.23
7156,1,0,0,44,17,8,4,9.0,8.7,0.78
7157,0,0,0,26,20,3,1,2.0,4.8,0.43
7158,0,0,1,44,11,7,2,4.0,5.6,0.43
7159,1,0,0,22,19,3,3,7.0,7.9,0.59
7160,1,0,1,22,7,9,2,3.0,4.5,0.31
7161,1,0,1,41,9,3,3,5.0,4.8,0.33
7162,0,1,0,31,7,3,2,5.0,6.7,0.64
7163,0,1,0,40,6,0,3,4.0,6.6,0.63
7164,1,0,0,59,15,7,4,7.0,7.5,0.64
7165,1,0,1,42,1,7,2,3.0,3.2,0.23
7166,0,0,1,49,8,4,2,4.0,5.2,0.35
7167,1,1,1,25,11,6,1,1.0,1.7,0.05
7168,0,0,0,38,8,6,3,5.0,5.9,0.45
7169,1,1,0,45,7,0,4,9.0,10.0,1.0
7170,1,1,0,25,15,9,4,7.0,7.8,0.58
7171,0,0,1,32,15,11,1,3.0,4.3,0.28
7172,1,1,0,64,11,1,3,6.0,5.9,0.52
7173,0,0,1,54,8,5,0,1.0,2.6,0.14
7174,0,1,0,48,19,12,2,3.0,3.5,0.23
7175,0,1,1,64,13,6,5,8.0,7.3,0.71
7176,0,0,1,23,15,0,2,4.0,4.2,0.32
7177,1,0,1,58,16,12,1,3.0,5.1,0.31
7178,0,0,1,31,16,10,2,4.0,6.2,0.4
7179,0,0,0,49,2,10,3,5.0,5.9,0.45
7180,0,1,0,36,9,0,1,2.0,5.5,0.34
7181,0,0,1,56,18,1,2,3.0,5.9,0.2
7182,0,1,1,24,2,9,1,4.0,7.3,0.51
7183,0,1,1,62,10,12,1,4.0,7.2,0.56
7184,0,1,0,27,4,4,3,7.0,8.8,0.75
7185,0,0,1,65,12,10,2,5.0,4.4,0.38
7186,1,0,1,23,12,10,3,6.0,7.6,0.45
7187,1,0,1,30,7,5,2,4.0,6.2,0.48
7188,1,0,1,55,5,11,3,6.0,6.9,0.49
7189,0,1,1,25,10,3,1,4.0,5.9,0.31
7190,1,1,1,36,7,9,3,6.0,8.6,0.82
7191,0,1,1,25,17,9,3,6.0,4.9,0.35
7192,1,1,0,44,8,3,3,6.0,7.1,0.55
7193,1,0,0,42,7,7,2,4.0,5.9,0.45
7194,0,0,0,52,12,8,3,6.0,6.9,0.55
7195,0,0,1,43,3,0,2,6.0,6.4,0.53
7196,1,1,1,53,20,3,2,4.0,5.9,0.25
7197,0,1,0,41,16,12,2,5.0,4.8,0.34
7198,1,0,1,53,15,8,3,4.0,4.3,0.38
7199,1,1,1,47,10,1,1,1.0,2.7,0.08
7200,1,0,0,60,3,6,2,5.0,6.0,0.4
7201,1,0,1,21,4,11,1,2.0,4.7,0.33
7202,1,0,1,40,19,2,2,3.0,5.2,0.45
7203,1,0,1,37,16,9,2,5.0,5.9,0.33
7204,1,0,1,52,14,1,1,3.0,5.7,0.45
7205,1,0,1,51,5,0,2,2.0,3.1,0.24
7206,0,1,1,37,9,0,2,4.0,7.7,0.66
7207,0,0,1,50,11,5,2,5.0,6.8,0.57
7208,1,0,0,59,12,8,5,10.0,8.4,0.77
7209,0,0,1,29,13,7,1,4.0,2.6,0.14
7210,1,1,1,25,16,9,4,7.0,8.2,0.64
7211,1,0,0,28,19,1,4,8.0,8.6,0.84
7212,0,1,1,55,12,7,5,10.0,7.6,0.74
7213,1,0,1,32,13,9,1,3.0,5.2,0.45
7214,0,0,0,27,16,11,4,6.0,6.4,0.59
7215,0,1,0,50,18,7,4,9.0,8.7,0.71
7216,1,0,1,26,14,4,1,4.0,5.2,0.33
7217,1,1,1,47,8,3,2,4.0,6.0,0.41
7218,0,0,1,61,19,0,2,4.0,5.7,0.39
7219,1,0,1,28,2,8,1,3.0,5.9,0.4
7220,1,0,1,29,19,5,1,2.0,4.0,0.21
7221,0,0,1,47,17,3,3,5.0,3.9,0.3
7222,1,0,1,45,17,11,3,5.0,7.4,0.64
7223,1,1,0,46,3,11,3,5.0,6.9,0.47
7224,0,0,0,48,15,12,2,5.0,7.6,0.57
7225,0,0,0,29,11,10,5,8.0,8.6,0.87
7226,0,1,0,55,14,12,4,6.0,7.0,0.66
7227,0,1,1,23,6,6,1,4.0,6.0,0.48
7228,0,0,0,39,2,2,4,6.0,6.5,0.63
7229,1,1,0,25,2,3,2,5.0,5.6,0.45
7230,0,1,1,37,15,2,0,1.0,2.1,0.09
7231,0,0,1,28,10,2,0,1.0,0.8,0.45
7232,1,0,1,30,10,7,3,5.0,5.8,0.37
7233,1,1,1,52,18,0,3,6.0,7.6,0.6
7234,1,1,0,52,5,0,3,5.0,5.9,0.58
7235,1,0,1,51,3,3,1,4.0,6.1,0.42
7236,0,0,0,23,4,9,3,6.0,6.1,0.53
