Gender,Company Type,WFH Setup Available,Age,Tenure,Vacations taken,Designation,Average Hours worked per day,Employee satisfaction score,Mental Fatigue Score
1,1,1,55,9,4,2,4.0,4.0,0.35
1,0,0,32,13,4,2,4.0,4.4,0.28
1,0,1,62,5,6,2,4.0,5.9,0.44
1,0,0,37,2,4,3,8.0,9.4,1.0
0,0,0,46,7,9,3,7.0,8.2,0.74
1,0,0,30,5,7,1,4.0,5.1,0.45
1,1,1,58,14,8,0,1.0,2.6,0.08
0,0,1,62,17,8,2,5.0,6.3,0.53
1,0,1,64,20,11,0,2.0,4.8,0.26
1,0,1,21,17,10,2,4.0,4.8,0.29
0,1,0,32,5,3,5,9.0,9.6,0.82
0,1,0,33,17,0,3,6.0,6.4,0.61
1,1,1,56,16,6,2,4.0,4.9,0.45
1,1,1,62,9,7,3,4.0,5.4,0.37
1,0,1,55,19,7,1,2.0,4.1,0.36
0,0,0,39,2,11,1,3.0,5.2,0.31
1,0,1,63,14,10,2,4.0,5.6,0.48
1,1,1,36,1,8,5,10.0,9.6,1.0
0,1,0,51,13,6,4,7.0,9.0,0.86
0,1,1,21,18,7,0,1.0,2.1,0.14
0,1,0,35,2,6,3,6.0,8.3,0.67
0,0,0,26,2,2,2,5.0,7.0,0.52
0,0,0,31,4,3,2,4.0,5.9,0.38
1,1,1,62,19,8,2,5.0,4.0,0.32
1,0,0,36,2,4,3,6.0,4.9,0.41
1,1,1,27,12,1,4,7.0,8.8,0.74
1,0,1,57,13,9,3,4.0,4.7,0.31
1,1,0,40,13,6,1,2.0,3.3,0.23
0,1,1,40,10,2,2,6.0,8.4,0.7
1,0,0,33,13,8,1,4.0,5.9,0.31
0,1,0,54,5,7,4,7.0,5.6,0.53
0,0,1,49,17,8,1,2.0,5.8,0.35
1,1,0,30,17,12,2,6.0,8.5,0.71
0,0,1,48,11,8,1,3.0,4.1,0.35
1,0,0,33,2,10,2,5.0,5.8,0.54
0,0,1,59,8,7,2,4.0,6.7,0.46
0,0,0,51,17,11,4,7.0,7.6,0.6
0,0,0,28,19,4,3,6.0,8.4,0.73
1,1,1,60,13,8,2,4.0,5.7,0.4
0,0,1,52,5,6,2,4.0,3.7,0.26
0,1,1,39,17,0,1,2.0,3.4,0.14
0,0,0,57,1,4,2,4.0,4.2,0.33
0,1,1,42,18,12,3,7.0,9.3,0.87
0,0,0,53,8,11,2,5.0,7.0,0.55
0,1,0,25,20,12,2,5.0,6.9,0.58
0,0,0,38,9,10,2,5.0,5.9,0.52
1,0,1,26,17,4,1,3.0,6.2,0.5
0,1,1,65,15,5,3,5.0,6.4,0.44
0,1,0,27,15,12,1,2.0,3.6,0.31
1,0,1,55,14,6,2,3.0,4.8,0.26
1,0,1,63,15,8,2,3.0,4.7,0.23
1,1,0,61,8,7,2,3.0,5.8,0.48
1,0,1,64,8,3,1,3.0,4.5,0.4
0,1,1,44,12,11,1,3.0,2.0,0.14
0,1,1,25,15,0,3,6.0,6.3,0.57
1,0,1,26,19,8,3,7.0,8.8,0.75
0,1,1,49,5,12,2,4.0,5.9,0.35
1,0,0,21,18,11,3,4.0,4.3,0.33
1,0,0,63,17,12,3,6.0,6.8,0.62
1,0,0,54,14,10,2,4.0,5.9,0.33
0,0,0,32,13,12,3,5.0,5.9,0.4
0,0,1,24,20,12,1,4.0,6.2,0.45
1,0,0,45,9,3,2,4.0,4.1,0.26
1,0,1,60,20,10,2,5.0,7.4,0.69
0,0,0,29,6,1,4,7.0,6.6,0.63
1,0,0,65,8,1,2,6.0,7.4,0.53
0,0,0,51,2,5,3,5.0,6.4,0.61
1,0,1,60,14,6,2,4.0,5.3,0.5
1,0,1,65,7,6,2,4.0,5.7,0.43
0,1,0,41,20,6,3,6.0,7.7,0.65
1,0,0,29,11,11,2,5.0,5.6,0.45
0,0,0,46,11,12,2,5.0,8.4,0.66
0,0,1,46,15,11,4,6.0,6.5,0.5
0,1,0,37,14,4,3,6.0,5.9,0.82
0,1,0,49,20,10,4,7.0,8.1,0.66
1,1,0,33,8,9,4,8.0,6.1,0.58
0,0,0,45,8,11,1,3.0,2.4,0.18
0,1,0,57,16,0,3,7.0,5.5,0.52
1,1,0,25,8,5,3,7.0,6.3,0.52
0,1,0,46,1,11,3,4.0,5.9,0.66
0,1,1,48,20,3,2,3.0,4.9,0.43
1,0,1,39,1,8,1,2.0,2.0,0.15
0,0,0,43,8,2,2,6.0,7.5,0.73
1,0,1,37,5,10,1,3.0,2.4,0.17
0,1,1,33,19,4,1,3.0,4.2,0.3
1,0,1,24,6,5,2,5.0,6.5,0.48
0,1,1,27,8,7,4,7.0,8.2,0.67
1,1,0,43,12,11,1,3.0,6.0,0.45
0,0,0,65,5,9,4,8.0,6.6,0.56
1,0,1,41,7,7,2,3.0,7.1,0.48
0,0,1,22,19,9,4,9.0,7.8,0.45
0,0,1,22,19,11,3,5.0,4.6,0.4
0,0,1,39,3,11,1,2.0,4.7,0.36
1,0,1,37,18,2,3,6.0,6.5,0.55
1,0,0,40,7,10,2,4.0,3.5,0.28
0,0,1,27,6,6,3,5.0,8.0,0.6
0,1,0,22,12,12,3,6.0,7.3,0.58
0,0,1,42,1,7,2,5.0,7.1,0.53
0,0,0,41,6,9,0,1.0,0.7,0.07
0,0,0,47,16,2,3,6.0,7.8,0.8
1,0,1,43,18,3,3,6.0,5.2,0.44
0,0,0,29,17,4,2,5.0,7.4,0.56
1,0,1,47,7,3,1,2.0,2.9,0.23
0,0,0,29,14,12,2,5.0,5.5,0.41
1,1,0,31,20,3,3,4.0,5.1,0.44
1,0,1,32,12,8,2,4.0,4.9,0.29
0,0,1,45,13,8,2,5.0,5.9,0.63
0,1,0,60,1,6,3,4.0,6.5,0.47
1,0,0,29,17,1,1,3.0,6.3,0.44
1,1,1,47,7,3,0,1.0,0.3,0.01
0,0,0,24,12,5,3,6.0,8.5,0.82
0,0,1,59,14,3,3,7.0,6.9,0.53
0,1,1,40,12,11,0,2.0,3.8,0.17
1,0,1,29,5,11,4,6.0,7.8,0.59
1,0,1,63,2,5,2,3.0,5.0,0.26
0,0,0,51,9,12,4,7.0,6.9,0.57
1,0,0,63,16,7,1,4.0,5.7,0.47
1,0,1,42,16,12,3,7.0,6.2,0.55
1,0,0,35,11,2,1,3.0,3.7,0.28
1,1,1,62,6,3,1,3.0,6.5,0.5
1,1,1,21,7,0,1,2.0,4.1,0.18
1,1,1,53,11,5,1,2.0,5.9,0.48
0,1,0,34,13,10,4,8.0,6.2,0.6
1,1,1,60,17,10,2,3.0,5.9,0.39
1,1,0,42,4,5,3,4.0,6.4,0.46
0,0,1,29,1,0,2,5.0,5.4,0.31
0,1,0,33,15,10,4,8.0,5.9,0.82
1,0,1,54,2,12,2,3.0,3.4,0.24
1,1,1,30,5,3,1,3.0,4.9,0.28
0,0,1,45,10,7,2,4.0,5.9,0.42
1,1,1,25,1,8,0,4.0,4.3,0.27
1,1,1,58,16,8,0,1.0,2.6,0.1
1,0,1,34,8,3,3,4.0,6.4,0.44
0,0,1,42,18,4,3,6.0,5.9,0.5
1,0,0,49,4,2,2,5.0,7.4,0.6
1,1,1,57,4,4,1,2.0,4.6,0.32
0,1,0,35,20,11,3,4.0,7.5,0.53
1,0,0,38,1,8,2,4.0,6.6,0.43
0,1,1,50,20,8,2,4.0,4.1,0.23
0,1,0,44,15,5,3,5.0,6.8,0.63
1,0,0,37,5,2,3,4.0,7.1,0.49
1,0,1,23,10,1,3,5.0,5.8,0.41
0,0,1,32,18,12,1,3.0,7.0,0.47
1,1,1,38,9,8,1,2.0,3.8,0.25
0,1,0,65,10,12,1,3.0,3.8,0.33
0,0,1,37,14,7,1,1.0,0.5,0.45
0,0,1,46,7,9,3,5.0,6.0,0.56
1,1,1,23,2,4,3,5.0,5.5,0.5
0,0,0,28,13,12,5,10.0,8.2,0.78
0,0,1,39,1,0,1,2.0,4.2,0.28
1,1,0,55,14,5,4,9.0,9.9,0.87
0,0,0,51,5,10,1,2.0,5.1,0.33
1,0,1,21,20,5,2,4.0,3.9,0.19
0,1,0,40,5,6,4,6.0,5.9,0.58
0,1,0,36,1,7,2,6.0,7.9,0.81
0,1,0,28,11,7,2,6.0,6.3,0.54
0,0,0,24,5,0,2,7.0,8.8,0.7
1,1,0,28,20,10,2,4.0,6.4,0.42
1,0,1,63,18,2,1,3.0,5.3,0.4
1,0,1,35,1,7,2,4.0,3.6,0.15
0,0,1,53,12,5,2,5.0,5.9,0.61
1,1,1,44,18,12,3,5.0,5.1,0.35
0,0,1,32,3,11,3,7.0,9.3,0.77
1,0,1,40,13,3,3,4.0,4.3,0.24
0,0,0,60,14,10,2,4.0,3.5,0.28
0,0,1,30,1,5,2,4.0,4.3,0.22
0,0,0,64,20,11,2,5.0,7.1,0.52
1,0,0,23,3,5,4,4.0,7.4,0.54
0,1,0,48,6,0,2,6.0,8.0,0.73
0,1,0,65,11,12,4,7.0,5.9,0.6
0,0,1,49,16,3,2,4.0,6.2,0.38
0,0,1,48,3,8,2,4.0,4.3,0.38
1,0,0,44,17,12,2,5.0,3.7,0.3
1,1,0,62,12,12,3,7.0,7.6,0.6
0,1,0,24,5,12,3,4.0,6.7,0.57
0,1,1,38,19,3,1,3.0,6.4,0.44
1,0,1,57,4,7,3,5.0,5.6,0.45
1,0,0,44,3,6,3,7.0,6.4,0.54
1,0,1,62,18,2,1,2.0,1.9,0.07
1,0,0,31,18,3,3,4.0,4.9,0.45
0,0,1,49,4,4,2,6.0,8.1,0.6
1,1,1,34,10,10,1,1.0,2.5,0.07
0,0,1,53,15,4,2,5.0,5.5,0.36
0,0,0,25,16,4,2,6.0,7.2,0.55
1,1,0,61,4,1,2,4.0,5.1,0.45
1,1,1,30,5,10,5,10.0,9.4,0.8
1,0,0,49,11,0,1,3.0,6.0,0.39
1,1,1,58,20,11,3,5.0,5.5,0.41
1,0,1,34,14,6,1,2.0,6.1,0.43
1,0,1,56,14,9,2,3.0,7.1,0.5
0,0,1,56,20,2,3,4.0,4.5,0.33
0,0,1,60,4,12,2,4.0,5.2,0.39
0,1,0,46,15,7,4,8.0,7.5,0.69
0,0,1,33,3,5,1,1.0,5.9,0.07
1,1,0,52,3,9,2,4.0,8.2,0.66
1,0,0,24,16,6,0,1.0,4.4,0.45
1,1,0,48,1,11,2,4.0,4.7,0.29
0,1,1,23,20,6,3,6.0,8.4,0.66
1,0,1,23,4,4,2,4.0,5.9,0.43
0,0,1,47,2,4,2,5.0,6.4,0.63
1,0,0,54,16,3,5,9.0,7.8,0.78
0,0,0,63,15,5,1,3.0,5.3,0.35
0,0,0,62,5,4,3,6.0,7.7,0.58
1,0,0,25,4,1,3,7.0,7.4,0.74
1,0,0,49,18,4,3,7.0,9.1,0.45
0,0,0,55,4,12,3,7.0,8.9,0.72
0,0,0,35,4,11,0,1.0,1.1,0.03
1,1,1,57,9,1,3,5.0,5.3,0.39
0,1,1,53,14,7,1,4.0,3.2,0.27
0,0,0,63,14,12,4,7.0,7.0,0.7
0,1,0,27,2,1,2,4.0,7.6,0.45
1,0,0,41,18,0,3,8.0,9.4,0.87
0,0,1,25,13,10,2,3.0,3.5,0.17
0,1,1,59,2,11,4,7.0,8.1,0.78
0,0,0,26,7,10,2,4.0,6.0,0.41
0,1,0,48,13,10,1,2.0,5.8,0.5
1,0,1,53,19,4,1,3.0,5.4,0.45
0,0,0,36,15,6,1,4.0,5.8,0.56
1,1,0,50,5,6,3,5.0,5.9,0.47
0,1,1,53,14,10,3,7.0,7.0,0.59
0,0,0,62,4,2,3,5.0,7.4,0.58
0,0,0,56,7,7,3,4.0,5.9,0.56
1,0,1,22,13,11,3,8.0,10.0,0.97
1,0,1,32,18,3,2,5.0,5.9,0.5
1,1,0,47,10,5,3,4.0,5.9,0.49
1,0,0,63,19,11,1,2.0,4.3,0.36
0,0,0,57,17,12,2,4.0,5.4,0.33
1,0,1,62,5,4,1,3.0,4.5,0.31
0,0,0,56,4,12,2,5.0,7.4,0.57
1,1,1,63,9,6,2,4.0,5.9,0.23
0,0,0,29,15,7,4,8.0,5.9,0.54
0,0,1,39,3,0,0,1.0,1.7,0.02
1,0,1,52,12,0,2,4.0,5.1,0.45
0,0,0,52,6,5,3,6.0,8.6,0.67
0,1,0,33,8,9,3,6.0,8.8,0.73
1,1,0,59,13,7,1,3.0,5.1,0.36
1,0,1,21,12,11,2,3.0,6.0,0.36
1,0,0,46,2,4,2,3.0,4.2,0.31
1,0,0,44,4,8,3,7.0,10.0,0.89
0,0,1,45,20,9,3,6.0,7.6,0.56
0,1,1,29,15,4,1,3.0,6.0,0.44
0,1,0,41,12,3,3,5.0,4.7,0.37
1,0,1,63,19,0,2,4.0,3.9,0.45
0,0,1,41,10,0,3,6.0,6.5,0.57
1,0,0,31,4,4,2,4.0,5.9,0.34
0,0,1,24,10,4,4,6.0,7.2,0.55
0,0,1,37,7,7,1,2.0,5.3,0.33
0,1,1,49,17,6,1,3.0,5.0,0.35
0,1,1,42,20,6,0,1.0,5.9,0.45
1,0,1,54,9,1,1,2.0,3.9,0.32
0,1,0,32,6,9,2,6.0,6.4,0.55
1,0,1,52,2,10,2,5.0,6.2,0.49
1,0,1,53,18,5,3,6.0,6.5,0.45
0,0,0,50,20,5,2,6.0,7.1,0.63
0,0,1,35,9,7,1,4.0,5.0,0.44
0,0,1,29,18,9,0,1.0,2.1,0.09
1,1,0,48,18,10,2,3.0,5.9,0.45
1,0,1,47,18,7,1,4.0,5.6,0.32
1,1,1,57,20,2,0,1.0,3.7,0.2
1,0,1,54,3,12,3,7.0,8.0,0.62
1,0,1,55,14,11,3,5.0,6.9,0.5
1,0,1,54,15,7,1,3.0,4.4,0.23
1,0,0,40,1,4,2,5.0,6.8,0.52
1,1,0,53,13,0,4,6.0,5.7,0.51
0,0,1,59,17,9,3,6.0,7.1,0.7
0,1,1,42,6,5,2,5.0,7.8,0.45
1,0,0,21,4,7,2,5.0,5.0,0.3
1,0,1,43,4,4,1,3.0,5.2,0.45
1,0,1,27,16,10,4,7.0,5.8,0.45
0,1,1,63,12,12,2,5.0,5.9,0.68
1,1,1,22,10,1,2,3.0,2.5,0.18
0,1,0,23,11,2,4,8.0,7.5,0.77
0,1,1,57,4,7,1,4.0,4.1,0.33
1,1,1,48,4,3,2,3.0,4.4,0.21
0,0,0,61,3,8,3,6.0,6.4,0.61
0,0,1,42,17,10,3,4.0,4.4,0.39
0,0,0,43,5,9,4,7.0,8.0,0.69
1,0,1,23,1,5,1,2.0,4.6,0.38
0,0,0,34,20,5,3,6.0,6.8,0.54
0,0,0,44,19,8,0,1.0,2.5,0.2
0,0,0,43,2,3,3,5.0,5.1,0.39
0,1,0,29,13,7,2,4.0,6.6,0.62
0,0,1,61,8,9,1,2.0,4.2,0.31
1,0,0,52,6,0,2,4.0,8.4,0.69
1,0,1,47,17,10,3,5.0,6.1,0.46
0,0,1,22,14,12,5,9.0,9.3,0.79
1,0,1,29,14,6,3,4.0,6.0,0.44
1,0,1,24,11,2,0,2.0,3.9,0.26
1,1,1,30,3,11,0,1.0,4.7,0.26
1,0,1,58,17,6,2,2.0,4.5,0.21
0,1,0,33,16,8,1,4.0,5.0,0.4
1,0,1,25,2,5,1,2.0,3.8,0.17
0,0,1,50,18,8,2,4.0,5.9,0.27
0,0,1,42,4,5,2,5.0,5.1,0.47
1,0,1,50,14,3,3,6.0,5.2,0.47
1,0,0,23,14,8,3,6.0,7.6,0.62
0,0,0,57,14,3,5,9.0,9.9,0.45
0,0,1,29,13,3,4,8.0,7.1,0.56
1,0,0,51,20,1,4,9.0,7.3,0.74
1,0,1,63,16,1,3,4.0,5.7,0.45
0,0,0,41,3,1,5,8.0,8.0,0.83
1,0,0,40,14,8,2,6.0,8.9,0.45
1,0,0,22,17,9,2,4.0,4.5,0.45
1,1,1,41,9,11,2,3.0,6.3,0.43
0,1,0,57,12,1,2,6.0,8.3,0.67
0,1,1,27,8,2,3,7.0,5.9,0.6
0,1,0,60,13,0,2,5.0,6.8,0.52
1,0,0,30,8,7,3,5.0,5.3,0.31
0,0,1,33,19,4,2,3.0,6.3,0.41
1,1,0,51,1,3,2,4.0,5.5,0.43
0,0,0,28,19,11,4,7.0,8.1,0.65
1,1,1,60,1,12,1,2.0,5.9,0.45
0,1,1,42,16,7,2,4.0,5.2,0.28
0,1,0,50,13,12,4,7.0,8.2,0.75
1,0,1,65,11,2,3,4.0,4.7,0.41
1,1,1,65,5,6,2,4.0,5.4,0.42
1,1,1,49,2,3,3,4.0,6.9,0.59
1,0,1,42,19,7,1,2.0,5.9,0.25
1,1,0,37,12,7,3,7.0,9.1,0.9
0,1,0,62,4,3,2,4.0,5.9,0.41
0,1,1,29,8,11,2,3.0,5.9,0.21
1,0,1,33,1,7,3,5.0,5.8,0.42
1,0,1,36,17,12,1,3.0,4.3,0.32
0,0,1,36,7,9,1,3.0,5.1,0.4
1,1,0,65,10,12,2,3.0,5.2,0.43
0,0,0,65,19,6,3,6.0,7.6,0.67
0,1,0,32,6,11,4,9.0,10.0,0.92
1,1,1,39,20,12,1,2.0,4.6,0.36
1,1,1,65,4,3,3,4.0,5.9,0.38
0,0,0,51,7,11,2,6.0,7.6,0.68
1,1,1,31,14,10,2,3.0,4.0,0.29
0,0,1,41,20,11,0,1.0,4.6,0.28
1,1,1,63,13,6,3,5.0,6.5,0.45
0,1,1,59,7,4,2,4.0,6.0,0.38
0,1,0,62,9,6,4,7.0,8.8,0.74
1,0,1,37,10,2,3,5.0,5.2,0.37
0,0,1,62,4,4,2,4.0,3.9,0.31
1,0,1,61,20,1,2,3.0,4.9,0.32
0,0,0,55,15,9,3,7.0,9.7,0.81
0,0,1,26,16,4,3,7.0,8.5,0.78
1,1,1,64,2,10,1,1.0,2.4,0.17
0,0,0,32,2,8,4,6.0,7.0,0.51
1,1,0,41,16,10,0,1.0,3.5,0.19
0,1,1,46,4,3,4,8.0,5.8,0.53
1,1,0,28,7,8,0,1.0,4.4,0.24
0,0,1,36,7,0,1,2.0,2.2,0.14
0,0,1,24,6,8,2,4.0,6.6,0.44
0,0,0,42,9,2,2,5.0,6.2,0.52
1,0,0,62,10,0,2,4.0,6.1,0.39
1,0,1,37,15,0,1,3.0,5.3,0.35
0,0,0,58,11,12,3,8.0,8.0,0.7
0,0,1,52,16,2,2,4.0,6.7,0.58
0,0,1,55,8,1,3,6.0,6.0,0.52
0,0,1,62,3,4,0,1.0,3.6,0.16
0,1,1,49,18,6,1,3.0,3.4,0.16
0,0,0,23,3,1,1,3.0,5.6,0.42
1,1,1,63,5,7,0,1.0,3.0,0.23
0,1,1,51,6,9,3,5.0,7.9,0.61
1,0,0,48,2,8,3,4.0,6.1,0.45
1,0,0,34,7,7,2,4.0,5.8,0.43
1,0,1,63,15,11,2,4.0,5.7,0.37
0,1,0,51,9,7,4,8.0,7.0,0.71
1,0,0,62,11,7,2,5.0,5.7,0.43
1,0,1,56,5,10,3,7.0,6.3,0.54
0,0,0,55,11,1,4,7.0,7.2,0.71
0,1,0,21,10,2,3,4.0,4.6,0.45
1,0,0,57,13,1,2,4.0,8.1,0.66
1,1,1,39,12,5,1,3.0,6.3,0.49
0,0,1,35,14,4,1,3.0,4.5,0.36
0,0,1,36,17,8,2,5.0,4.4,0.38
1,0,0,41,20,12,1,1.0,3.2,0.25
0,0,1,49,1,10,1,3.0,4.6,0.36
0,0,1,24,7,3,0,1.0,1.5,0.1
1,1,1,64,13,11,1,2.0,5.9,0.19
1,0,0,42,12,6,4,7.0,7.2,0.72
0,0,1,63,14,6,1,3.0,4.1,0.28
1,0,1,40,8,6,4,7.0,6.8,0.67
0,0,0,58,9,6,4,8.0,5.8,0.54
1,1,0,38,5,12,3,6.0,5.9,0.52
1,0,1,50,16,0,1,3.0,4.0,0.19
1,0,1,57,3,4,0,1.0,3.1,0.24
1,1,1,62,17,8,1,2.0,5.0,0.39
0,1,0,51,2,7,3,6.0,6.9,0.54
1,0,1,42,20,4,3,4.0,5.4,0.48
1,0,1,40,15,4,2,2.0,4.5,0.26
0,0,0,35,4,6,3,7.0,8.0,0.63
0,1,1,41,15,8,3,6.0,5.2,0.34
1,0,0,61,4,10,1,1.0,2.1,0.15
1,1,1,31,3,0,2,4.0,5.9,0.47
1,0,1,44,15,10,1,2.0,2.6,0.19
0,0,0,57,18,8,1,3.0,4.9,0.27
1,0,0,45,13,11,2,4.0,3.4,0.25
1,1,1,40,9,9,3,6.0,6.0,0.39
1,0,0,24,15,1,3,6.0,7.6,0.67
1,0,1,32,7,5,2,2.0,4.8,0.26
1,1,1,40,13,10,2,5.0,6.5,0.52
1,1,1,49,5,1,0,1.0,3.9,0.21
1,1,1,33,14,12,1,1.0,2.4,0.09
0,0,0,62,4,7,4,8.0,7.3,0.56
1,1,0,35,3,4,3,4.0,5.2,0.27
0,0,1,61,6,1,3,7.0,7.3,0.56
0,0,0,34,16,7,3,6.0,6.9,0.58
1,0,1,46,5,2,2,4.0,4.4,0.3
0,0,1,40,18,2,5,9.0,8.2,0.85
1,0,0,24,19,12,3,6.0,5.9,0.55
0,0,0,36,5,1,4,8.0,8.2,0.63
1,0,0,48,12,11,4,7.0,6.6,0.59
1,1,1,43,3,1,3,6.0,4.2,0.35
0,0,0,57,5,4,2,3.0,4.0,0.26
1,0,1,43,3,3,1,3.0,3.6,0.2
1,0,0,64,16,8,2,6.0,7.7,0.75
1,1,0,30,1,12,2,6.0,5.9,0.54
1,0,0,59,6,3,4,8.0,8.4,0.76
0,0,1,47,15,3,3,4.0,6.3,0.47
0,1,1,65,14,10,2,4.0,4.1,0.33
0,0,0,59,8,4,2,5.0,7.1,0.53
0,0,1,23,10,11,1,2.0,3.7,0.18
0,0,1,36,16,9,4,8.0,8.5,0.69
1,1,0,51,7,6,1,4.0,7.0,0.51
1,0,0,37,3,0,3,5.0,5.9,0.34
1,0,0,64,16,5,1,2.0,2.5,0.18
0,0,1,42,12,5,1,4.0,5.8,0.53
0,0,1,64,15,3,1,3.0,5.9,0.2
0,1,1,22,7,1,1,2.0,4.9,0.33
0,0,0,46,11,4,3,6.0,7.3,0.56
1,0,0,58,5,0,0,1.0,4.4,0.28
0,0,1,46,5,10,4,8.0,8.2,0.83
1,0,0,21,19,6,3,6.0,8.0,0.45
0,0,0,51,17,8,3,6.0,6.7,0.64
1,0,0,35,20,9,1,1.0,5.9,0.24
0,0,0,64,10,12,1,1.0,4.5,0.24
1,0,1,47,16,3,0,4.0,4.6,0.29
1,1,1,41,19,6,2,4.0,6.0,0.41
0,1,1,41,1,4,2,6.0,7.8,0.67
0,0,0,27,9,2,3,7.0,7.2,0.45
1,0,1,53,18,3,2,5.0,6.7,0.52
0,0,1,40,15,5,3,5.0,6.4,0.56
1,0,0,27,17,5,2,4.0,7.3,0.55
1,0,1,58,19,4,5,10.0,5.9,0.8
1,0,0,34,2,11,4,8.0,7.0,0.66
1,0,0,41,13,4,3,7.0,6.9,0.54
0,1,1,38,18,10,2,3.0,5.7,0.38
0,0,1,58,3,1,3,7.0,7.2,0.51
1,0,1,23,12,4,4,8.0,8.1,0.74
0,1,0,62,11,12,2,5.0,6.0,0.52
1,1,1,62,5,3,1,2.0,3.1,0.45
0,0,0,53,13,11,3,7.0,8.9,0.87
0,0,0,43,14,8,0,1.0,5.9,0.08
0,1,0,44,15,9,2,4.0,5.9,0.39
0,1,1,54,14,4,1,3.0,4.1,0.29
1,0,1,31,19,12,4,9.0,8.8,0.77
0,0,1,41,15,11,3,4.0,6.7,0.45
1,0,1,45,9,0,2,3.0,5.8,0.46
1,1,0,42,7,3,1,5.0,5.7,0.52
0,0,0,31,3,1,3,6.0,5.9,0.54
0,0,1,23,6,10,1,2.0,3.7,0.26
0,0,1,44,16,5,1,4.0,5.1,0.45
1,0,1,48,11,9,0,1.0,3.9,0.2
0,1,0,45,16,5,3,5.0,6.8,0.68
0,1,0,46,7,11,3,5.0,6.9,0.58
1,1,1,53,6,5,3,5.0,5.5,0.44
1,1,0,39,18,5,2,4.0,7.3,0.54
1,0,1,48,19,6,2,4.0,5.9,0.25
1,0,1,56,19,1,1,3.0,4.5,0.27
0,0,1,53,5,1,2,3.0,3.1,0.23
0,1,1,38,9,4,1,2.0,1.6,0.05
0,1,0,54,5,5,1,3.0,4.3,0.21
0,1,1,43,3,7,1,1.0,2.9,0.14
0,0,1,56,8,8,2,4.0,6.4,0.48
0,0,1,46,9,4,2,3.0,6.7,0.43
1,0,1,58,5,3,3,5.0,5.8,0.34
1,1,0,55,19,4,3,4.0,6.7,0.5
0,0,1,63,13,1,2,4.0,5.2,0.45
0,0,0,29,4,1,2,4.0,8.1,0.68
0,1,1,43,17,9,1,4.0,5.6,0.48
0,1,1,60,9,7,2,5.0,6.6,0.52
0,1,1,55,3,10,1,3.0,2.6,0.2
1,1,1,24,7,1,3,4.0,6.1,0.4
0,0,0,52,2,4,2,3.0,6.3,0.48
1,0,1,31,9,3,3,7.0,8.8,0.7
0,1,1,22,1,11,3,6.0,8.1,0.6
1,0,1,63,7,11,1,4.0,1.9,0.05
0,1,1,58,2,3,1,2.0,2.1,0.14
0,0,0,48,13,1,2,4.0,6.6,0.63
1,0,1,49,9,6,2,3.0,5.0,0.27
0,0,1,55,16,8,2,6.0,7.4,0.57
1,0,1,22,14,2,3,7.0,7.7,0.57
0,0,1,49,9,6,1,1.0,2.6,0.12
0,0,1,59,17,3,1,1.0,2.8,0.23
0,0,1,51,12,10,5,10.0,9.1,0.93
0,0,0,60,11,5,4,7.0,7.0,0.65
0,0,0,52,2,9,2,4.0,7.9,0.66
1,0,1,55,12,8,3,6.0,7.7,0.58
1,1,1,42,12,7,3,8.0,5.9,0.74
0,0,0,62,17,11,3,6.0,8.1,0.73
1,1,0,23,11,6,4,9.0,9.8,1.0
0,0,0,24,16,10,2,5.0,3.9,0.3
1,0,1,50,6,7,1,4.0,4.4,0.32
0,1,1,39,7,10,2,5.0,6.2,0.5
0,0,1,65,17,3,1,2.0,5.9,0.45
0,0,0,65,17,4,0,1.0,1.0,0.03
0,1,0,51,1,10,2,4.0,6.1,0.49
0,0,1,35,1,8,2,5.0,4.1,0.34
0,1,0,64,15,10,1,2.0,2.8,0.15
0,1,0,46,7,4,1,1.0,1.5,0.07
0,1,0,28,15,12,1,3.0,5.7,0.35
0,1,1,31,10,2,3,6.0,6.8,0.61
1,1,1,44,19,11,2,4.0,5.3,0.33
0,0,1,31,6,2,1,4.0,5.9,0.45
1,1,1,45,10,4,1,1.0,3.6,0.15
0,1,1,30,13,10,1,2.0,5.5,0.35
0,0,1,58,5,3,1,2.0,5.9,0.29
1,0,0,65,7,2,3,5.0,5.5,0.48
0,0,1,60,16,0,1,1.0,1.1,0.04
1,0,0,33,19,11,3,5.0,4.9,0.43
1,0,1,57,14,8,4,4.0,8.7,0.77
1,1,0,46,2,9,1,1.0,1.7,0.13
0,0,1,59,6,12,2,3.0,5.9,0.48
1,1,0,23,11,6,3,7.0,5.9,0.57
0,1,0,55,2,6,4,7.0,6.6,0.51
0,0,0,43,17,1,4,6.0,7.5,0.64
0,0,1,30,8,6,2,4.0,5.0,0.41
0,0,1,52,14,12,4,7.0,7.6,0.75
1,1,1,30,9,7,4,5.0,5.8,0.48
1,1,1,55,3,2,2,4.0,5.3,0.31
0,0,1,52,20,1,3,5.0,8.4,0.67
1,0,1,44,16,1,2,5.0,5.5,0.45
0,0,1,32,6,9,3,4.0,5.4,0.32
1,1,1,21,14,6,1,4.0,5.3,0.35
0,0,0,49,18,3,1,3.0,6.1,0.45
1,1,0,36,17,10,3,8.0,7.3,0.74
1,0,1,60,7,5,1,3.0,3.8,0.31
0,1,1,27,9,9,1,2.0,5.1,0.45
0,0,0,56,17,3,3,5.0,7.1,0.49
1,0,0,53,14,5,2,5.0,6.7,0.53
